count,pages_per_second,percentage_complete,memory in use
190000,105.62752317200992,65.49837902164695,34.3
200000,108.4850199727636,65.64652650634213,34.5
210000,111.4104604741081,65.78188546550909,34.4
220000,114.66835966972985,65.89013376451267,34.2
230000,116.94587639918514,66.05916030211846,34.6
240000,119.22334707517285,66.22004561452013,34.5
250000,121.17071087650139,66.35968853962221,34.7
10000,9.514035476321201,66.53605358692158,32.9
20000,18.09259299945791,66.6809099380236,32.9
30000,26.326219828936814,66.78475175135625,33.0
40000,34.00871054737978,66.91659143673233,32.9
50000,41.116386247366755,67.06146468710826,33.1
60000,47.921479010291385,67.18729245579235,32.9
70000,54.237828682972435,67.30787722474716,32.9
80000,59.78074032272503,67.496359051437,33.1
90000,65.01302875185215,67.66882036646413,32.9
100000,69.88454194941369,67.81191496826148,33.0
110000,74.4402174374972,67.97898963973114,33.0
120000,78.58707179944324,68.22326019440249,33.1
130000,82.27834894765816,68.4110280267698,33.1
140000,87.09230839692219,68.51465859917863,33.1
150000,91.8926066843168,68.6118040752261,33.0
160000,96.03898972729112,68.75459449009314,33.0
170000,99.85209183098993,68.8662902409735,33.1
180000,104.18744118519473,68.95754632006481,33.1
190000,108.33632875224505,69.05428198872006,33.1
200000,112.17070956755859,69.17300361272677,33.2
210000,116.83201334804072,69.25335543533036,33.1
220000,121.43049268757767,69.3208173367623,33.0
230000,125.89902614039377,69.3938686730386,33.0
240000,129.9533969302506,69.46810295848829,33.1
250000,133.53990334677624,69.54883501475476,33.1
10000,8.634033493023175,69.62255809716879,28.3
20000,16.67418606756022,69.69752327621491,31.1
30000,24.607439839695406,69.76586816470844,30.9
40000,32.10575329735658,69.84919848433793,31.6
50000,39.51589294271599,69.92123586417986,31.4
60000,46.41959226216205,70.01427059184975,31.1
70000,52.71711560055065,70.1233342808193,31.0
80000,59.29014668522453,70.21283706024288,31.2
90000,65.00624398389688,70.32201904412975,30.9
